,OTU,destination,shared,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_use
92,3bd21c1f2b1ae487f30791218b8444c0,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Family_Caulobacteraceae,Family_Caulobacteraceae,Other Proteobacteria
93,3bdf3962a4d6b9738dc1bfa095f6cc8e,both,shared,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Genus_Sphingobacterium,Other Bacteroidota
94,3dcf95f04c5e5084618a820fded0a048,lost,lost,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Genus_Clostridium_T,Other Firmicutes
95,3e00a33b844a56c2e00acedeffc43b5e,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Other Proteobacteria
96,3e112563e0ef973d16a7554ff4166b12,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Family_Sphingomonadaceae,Family_Sphingomonadaceae,Other Proteobacteria
97,3e4ef7b82401136b6a3729a771f4825b,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Genus_Methylobacterium,Other Proteobacteria
98,3ea027ac9c30306db8fd5fd74cf30c63,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Genus_Rhizobium_A_501058,Other Proteobacteria
99,438dc2a2ea2405a782df5830ae62100e,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Genus_Agrobacterium,Other Proteobacteria
100,43f41dd4045f31804b91facdd53eab41,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_A_615274maltophilia_615059,Stenotrophomonas
101,4472b8a122f7775d492278da34a2c780,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,Empedobacterbrevis,Other Bacteroidota
102,44d2df836124b3a024baa940060336ea,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,Family_Enterobacteriaceae_A,Other Proteobacteria
103,47ccf6aac529c32aefdbad47e858570c,lost,lost,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Genus_Veillonella_A,Other Firmicutes
104,4810fbab877c32e917880c61301fe5e1,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,QFOI01,QFOI01sp004337365,Other Bacteroidota
105,481df8129fc0a9497a4c4338e683d900,lost,lost,Bacteria,Firmicutes,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcusprovencensis,Other Firmicutes
106,49a361dc4554ca6f03bc8d8bf47e329c,lost,lost,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Genus_Lysinibacillus_304693,Other Firmicutes
107,49bc4395980e4ae5228b71f31433b928,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Genus_Variovorax,Other Proteobacteria
108,4a765a31e0cf23936b0d98af5f0b7b81,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacterbaumannii,Other Proteobacteria
109,4bb2a60ebd87faa796298b17bcc4ebef,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Genus_Pseudomonas_B_650451,Pseudomonas
110,4bf82ca2013ad1107674f4014aea725e,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus,Azonexusagitatus,Other Proteobacteria
111,4ca76612b5cecf33d2c41ec0a47779ed,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,Family_Burkholderiaceae_A_592522,Family_Burkholderiaceae
112,4d723a182561c3d3e0268d0a49d1c1b1,lost,lost,Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovorax,Anaerovoraxodorimutans,Other Firmicutes
113,4db91a7e3a86803d4143abb8b533885d,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Geodermatophilaceae,Blastococcus,Blastococcusaggregatus,Other Actinobacteriota
114,4e5677a5d38222d4cc8bc32aa53bf4c5,lost,lost,Bacteria,Firmicutes,Bacilli,Lactobacillales,Order_Lactobacillales,Order_Lactobacillales,Order_Lactobacillales,Other Firmicutes
115,4e6dc966ff878651c691ea5e0ae83425,both,shared,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,Leucobacter
116,4f9de03bb2992296442a76bf3d144dcd,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,Family_Enterobacteriaceae_A,Other Proteobacteria
117,50327287c87739f3f9f69fbd4be61170,both,shared,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Family_Chitinophagaceae,Family_Chitinophagaceae_929731,Other Bacteroidota
118,50a3b56e0b7db75ee9daccf7a751ba41,late water,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Genus_Acinetobacter,Other Proteobacteria
119,50cd0822f350f8f5e1f8c59e67e10980,eggs,shared,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobactersolisilvae,Pedobacter
120,524c385df0ab7e16602e53b507548e80,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,Bact-08sp000473305,Other Bacteroidota
121,5412d2807b8f298d1409593699d32beb,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacteriumthermophilum,Other Bacteroidota
